WorkOrder,JobNumber,ProjectName,CostCode,MaterialDescription,ExpectedQty,Unit,NeededByDate,Foreman,Status
WO-1001,JOB-24001,Demo Data Center A,26-05-00,1/2" EMT Conduit,500,FT,2026-06-03,Alex Morgan,Open
WO-1001,JOB-24001,Demo Data Center A,26-05-00,1/2" EMT Coupling,120,EA,2026-06-03,Alex Morgan,Open
WO-1001,JOB-24001,Demo Data Center A,26-05-00,1/2" EMT Connector,120,EA,2026-06-03,Alex Morgan,Open
WO-1002,JOB-24001,Demo Data Center A,26-05-10,3/4" Threaded Rod,300,FT,2026-06-04,Jordan Lee,Open
WO-1002,JOB-24001,Demo Data Center A,26-05-10,3/8" Hex Nut,600,EA,2026-06-04,Jordan Lee,Open
WO-1002,JOB-24001,Demo Data Center A,26-05-10,3/8" Flat Washer,600,EA,2026-06-04,Jordan Lee,Open
WO-1003,JOB-24002,Demo Hospital B,26-20-00,4" Square Box,80,EA,2026-06-05,Taylor Brooks,Open
WO-1003,JOB-24002,Demo Hospital B,26-20-00,Single Gang Mud Ring,80,EA,2026-06-05,Taylor Brooks,Open
WO-1004,JOB-24002,Demo Hospital B,26-25-00,MC Cable 12/2,1000,FT,2026-06-06,Casey Parker,Open
WO-1004,JOB-24002,Demo Hospital B,26-25-00,Red Wire Nut,250,EA,2026-06-06,Casey Parker,Open
WO-1005,JOB-24003,Demo Office C,26-30-00,Prefab Wire Rack Assembly,40,EA,2026-06-07,Riley Chen,Open
WO-1005,JOB-24003,Demo Office C,26-30-00,Strut Channel 10ft,90,EA,2026-06-07,Riley Chen,Open
